k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
135	0	0	0.33	9.93	19.8	23.10	125.12	14.27	0	3.21
136	0	0	0.32	9.92	19.69	23.07	124.96	14.18	0	3.21
137	0	0	0.31	9.82	19.65	23.04	124.81	14.09	0	3.21
138	0	0	0.24	9.79	19.55	23.03	124.67	14.03	0	3.21
139	0	0	0.23	9.67	19.5	23.02	124.47	13.91	0	3.21
140	0	0	0.18	9.57	19.48	22.80	124.3	13.77	0	3.2
141	0	0	0.14	9.52	19.29	22.73	124.17	13.72	0	3.11
142	0	0	0.08	9.49	19.16	22.73	124.06	13.59	0	3.11
143	0	0	0.06	9.39	19.02	22.63	123.94	13.49	0	3.11
144	0	0	0.06	9.34	18.99	22.57	123.77	13.36	0	3.06
145	0	0	0.06	9.25	18.89	22.52	123.65	13.22	0	3.06
146	0	0	0.05	9.18	18.81	22.49	123.5	13.09	0	3.06
147	0	0	0.03	9.12	18.77	22.42	123.3	12.97	0	3.05
148	0	0	0.02	9.05	18.69	22.41	123.14	12.87	0	3.05
149	0	0	0.02	9.01	18.62	22.39	122.99	12.77	0	3.05
150	0	0	0.02	8.92	18.61	22.36	122.85	12.69	0	3.05
151	0	0	0.02	8.84	18.58	22.32	122.74	12.61	0	3.05
152	0	0	0.01	8.82	18.51	22.29	122.59	12.51	0	3.05
153	0	0	0	8.77	18.39	22.27	122.44	12.4	0	3.05
154	0	0	0	8.68	18.24	22.26	122.29	12.27	0	3.05
155	0	0	0	8.56	18.19	22.25	122.11	12.17	0	3.05
156	0	0	0	8.52	18.16	22.21	121.96	12.02	0	3.05
157	0	0	0	8.47	18.13	22.13	121.8	11.97	0	3.05
158	0	0	0	8.38	18.1	22.06	121.65	11.87	0	2.97
159	0	0	0	8.31	18.05	22.04	121.49	11.75	0	2.97
160	0	0	0	8.25	17.97	22.01	121.32	11.69	0	2.88
161	0	0	0	8.21	17.96	22.00	121.17	11.55	0	2.88
162	0	0	0	8.17	17.77	21.98	121.02	11.4	0	2.75
163	0	0	0	8	17.67	21.90	120.85	11.28	0	2.75
164	0	0	0	7.96	17.65	21.78	120.69	11.17	0	2.75
165	0	0	0	7.9	17.55	21.77	120.55	11.05	0	2.75
166	0	0	0	7.87	17.5	21.76	120.41	11	0	2.75
167	0	0	0	7.84	17.48	21.71	120.26	10.97	0	2.75
168	0	0	0	7.75	17.46	21.67	120.09	10.92	0	2.67
169	0	0	0	7.72	17.46	21.63	119.94	10.84	0	2.67
170	0	0	0	7.72	17.36	21.62	119.79	10.73	0	2.67
171	0	0	0	7.65	17.26	21.57	119.65	10.63	0	2.67
172	0	0	0	7.61	17.15	21.54	119.47	10.53	0	2.6
173	0	0	0	7.58	17	21.52	119.34	10.41	0	2.6
174	0	0	0	7.56	17	21.43	119.21	10.3	0	2.6
175	0	0	0	7.5	16.93	21.40	119.09	10.16	0	2.55
176	0	0	0	7.46	16.82	21.34	118.92	10.11	0	2.47
177	0	0	0	7.4	16.74	21.25	118.76	10.03	0	2.47
178	0	0	0	7.36	16.64	21.23	118.6	9.93	0	2.47
179	0	0	0	7.33	16.63	21.21	118.45	9.84	0	2.47
180	0	0	0	7.25	16.58	21.19	118.34	9.77	0	2.47
181	0	0	0	7.14	16.53	21.07	118.17	9.73	0	2.47
182	0	0	0	7.08	16.44	21.04	118.02	9.65	0	2.47
183	0	0	0	7.04	16.41	21.00	117.87	9.56	0	2.47
184	0	0	0	6.97	16.3	20.99	117.69	9.47	0	2.42
185	0	0	0	6.93	16.26	20.96	117.52	9.42	0	2.42
186	0	0	0	6.86	16.12	20.94	117.39	9.39	0	2.42
187	0	0	0	6.8	15.97	20.92	117.24	9.37	0	2.33
188	0	0	0	6.68	15.89	20.92	117.09	9.28	0	2.24
189	0	0	0	6.65	15.83	20.92	116.95	9.22	0	2.15
190	0	0	0	6.63	15.79	20.84	116.81	9.12	0	2.02
191	0	0	0	6.58	15.71	20.79	116.64	9.03	0	1.98
192	0	0	0	6.49	15.69	20.76	116.49	8.9	0	1.95
193	0	0	0	6.43	15.69	20.74	116.31	8.8	0	1.95
194	0	0	0	6.42	15.65	20.74	116.19	8.74	0	1.86
195	0	0	0	6.4	15.63	20.72	116.01	8.71	0	1.82
196	0	0	0	6.32	15.56	20.68	115.87	8.67	0	1.78
197	0	0	0	6.3	15.47	20.67	115.72	8.59	0	1.73
198	0	0	0	6.29	15.4	20.66	115.57	8.54	0	1.73
199	0	0	0	6.24	15.19	20.65	115.42	8.49	0	1.69
200	0	0	0	6.24	15.07	20.63	115.29	8.43	0	1.67
201	0	0	0	6.22	15.03	20.58	115.14	8.35	0	1.67
202	0	0	0	6.16	14.98	20.57	114.97	8.33	0	1.64
203	0	0	0	6.14	14.92	20.57	114.8	8.22	0	1.6
204	0	0	0	6.08	14.92	20.57	114.67	8.16	0	1.6
205	0	0	0	6.03	14.81	20.53	114.55	8.13	0	1.6
206	0	0	0	6.01	14.79	20.49	114.4	8.08	0	1.56
207	0	0	0	5.99	14.79	20.48	114.25	8.02	0	1.56
208	0	0	0	5.95	14.78	20.39	114.07	7.95	0	1.56
209	0	0	0	5.93	14.72	20.38	113.91	7.85	0	1.56
210	0	0	0	5.91	14.72	20.29	113.74	7.67	0	1.51
211	0	0	0	5.88	14.68	20.27	113.55	7.59	0	1.45
212	0	0	0	5.84	14.6	20.10	113.41	7.54	0	1.41
