k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
128	0	0	0.0335	0.5085	0.6756666667	0.7829666667	0.8646575342	0.5083333333	0	0.41
129	0	0	0.031	0.5085	0.6736666667	0.7804333333	0.8632876712	0.5046666667	0	0.4066666667
130	0	0	0.03	0.5085	0.6706666667	0.7804333333	0.8621232877	0.5	0	0.4044444444
131	0	0	0.0225	0.507	0.6686666667	0.7792	0.8609589041	0.494	0	0.4011111111
132	0	0	0.021	0.5015	0.6646666667	0.7781666667	0.8598630137	0.4896666667	0	0.3977777778
133	0	0	0.0195	0.497	0.6623333333	0.7756666667	0.8589041096	0.481	0	0.3955555556
134	0	0	0.0175	0.4965	0.662	0.7699	0.8578767123	0.478	0	0.3955555556
135	0	0	0.0165	0.4965	0.66	0.7699	0.8569863014	0.4756666667	0	0.3955555556
136	0	0	0.016	0.496	0.6563333333	0.7690333333	0.855890411	0.4726666667	0	0.3933333333
137	0	0	0.0155	0.491	0.655	0.7679	0.8548630137	0.4696666667	0	0.3922222222
138	0	0	0.012	0.4895	0.6516666667	0.7676	0.8539041096	0.4676666667	0	0.3911111111
139	0	0	0.0115	0.4835	0.65	0.7672666667	0.8525342466	0.4636666667	0	0.3888888889
140	0	0	0.009	0.4785	0.6493333333	0.7600333333	0.851369863	0.459	0	0.3855555556
141	0	0	0.007	0.476	0.643	0.7578	0.8504794521	0.4573333333	0	0.3844444444
142	0	0	0.004	0.4745	0.6386666667	0.7575333333	0.8497260274	0.453	0	0.3844444444
143	0	0	0.003	0.4695	0.634	0.7542	0.8489041096	0.4496666667	0	0.3844444444
144	0	0	0.003	0.467	0.633	0.7523	0.847739726	0.4453333333	0	0.3811111111
145	0	0	0.003	0.4625	0.6296666667	0.7506333333	0.8469178082	0.4406666667	0	0.3766666667
146	0	0	0.0025	0.459	0.627	0.7497666667	0.845890411	0.4363333333	0	0.3755555556
